date,Total_New_Loans,Owner_Occupier,Investor,Total_First_Loans,First_Owner,First_Investor
Jul-2019,17927.4,12733.0,5194.5,3871.8,3601.9,270.0
Aug-2019,18078.6,12720.6,5358.0,3938.9,3669.7,269.2
Sep-2019,17464.7,12525.9,4938.8,3829.8,3593.8,236.0
Oct-2019,19718.1,14303.8,5414.3,4270.1,4002.9,267.2
Nov-2019,21140.9,15386.5,5754.5,4541.2,4270.3,270.9
Dec-2019,21358.5,15524.4,5834.0,4601.3,4344.4,256.9
Jan-2020,17599.7,12891.1,4708.7,3844.4,3666.6,177.8
Feb-2020,16344.2,11918.0,4426.2,3687.1,3523.4,163.7
Mar-2020,19187.3,14135.8,5051.5,4397.3,4200.9,196.4
Apr-2020,17346.5,12808.3,4538.2,4050.4,3851.5,199.0
May-2020,16421.0,12231.0,4190.0,3857.4,3661.4,196.0
Jun-2020,18482.9,13576.2,4906.6,4316.1,4083.2,232.9
Jul-2020,19879.1,14979.7,4899.4,4792.2,4547.1,245.1
Aug-2020,20611.5,15714.0,4897.5,5192.7,4941.5,251.1
Sep-2020,22973.1,17600.4,5372.7,5872.5,5574.6,297.9
Oct-2020,23588.0,18155.8,5432.3,6036.5,5756.0,280.5
Nov-2020,25701.3,19801.6,5899.7,6531.5,6222.4,309.2
Dec-2020,28961.3,22279.8,6681.5,7560.9,7209.2,351.8
Jan-2021,23709.9,18301.1,5408.8,6233.0,5925.5,307.4
Feb-2021,24121.8,18356.1,5765.7,6133.4,5825.3,308.1
Mar-2021,30941.2,23014.1,7927.0,7431.2,6990.7,440.5
Apr-2021,29187.4,21580.7,7606.7,6730.3,6291.2,439.1
May-2021,32097.8,23051.0,9046.8,7154.1,6641.0,513.1